marca,modello,ft,prezzo_min,prezzo_medio,potenza_media_kw,bagagliaio_l,consumo_medio,peso_medio_kg,lunghezza_mm,n_versioni,consumo_stimato,trazione_prevalente,larghezza_mm,altezza_mm
LEXUS,LS,petrol/electric,123000,138000.0,264.0,480.0,7.1,,5235.0,2,False,integrale permanente,1900.0,1465.0
LEXUS,NX,petrol/electric,66700,72700.0,203.0,555.0,5.9,,4660.0,6,False,integrale permanente,1865.0,1640.0
LEXUS,RX,petrol/electric,86000,94250.0,227.0,612.0,5.9,,4890.0,4,False,integrale permanente,1920.0,1695.0
LEXUS,RZ Full Electric,electric,59900,68800.0,280.0,522.0,22.0,,4805.0,3,True,integrale permanente,1895.0,1635.0
LEXUS,UX,petrol/electric,43500,47300.0,146.0,268.0,4.1,,4495.0,4,False,anteriore,1840.0,1540.0
LEXUS,UX 300e,electric,58000,62000.0,57.0,367.0,15.0,,4495.0,2,True,anteriore,1840.0,1545.0
MASERATI,GranCabrio,petrol,169600,190400.0,383.0,172.5,15.5,,4962.5,2,False,integrale permanente,1957.0,1365.0
MASERATI,GranCabrio Folgore,electric,208600,208600.0,141.0,151.0,22.0,,4966.0,1,True,integrale permanente,1957.0,1365.0
MASERATI,GranTurismo,petrol,160900,182000.0,361.0,310.0,15.5,,4959.0,3,False,integrale permanente,1957.0,1353.0
MASERATI,GranTurismo Folgore,electric,199800,199800.0,141.0,270.0,22.0,,4960.0,1,True,integrale permanente,1957.0,1375.0
MASERATI,Grecale,petrol,128100,128100.0,390.0,570.0,9.5,,4859.0,1,False,integrale permanente,1948.0,1670.0
MASERATI,Grecale,petrol/electric,85200,89050.0,202.5,535.0,8.8,,4846.0,4,False,integrale permanente,1948.0,1670.0
MASERATI,Grecale Folgore,electric,111600,111600.0,136.0,535.0,22.0,,4865.0,1,True,"posteriore, anteriore inseribile",1948.0,1651.0
MASERATI,MC20,petrol,247850,247850.0,463.0,150.0,8.5,,4669.0,1,True,posteriore,1965.0,1221.0
MASERATI,MCPURA,petrol,223504,223504.0,463.0,100.0,8.5,,4669.0,1,True,posteriore,1965.0,1221.0
MAZDA,CX-30,petrol/electric,28950,35150.0,137.0,430.0,4.9,,4395.0,17,False,anteriore,1795.0,1540.0
MAZDA,CX-5,petrol/electric,35900,42150.0,104.0,583.0,5.5,,4690.0,7,True,anteriore,1880.0,1690.0
MAZDA,CX-6e,electric,46750,48250.0,60.0,468.0,15.0,,4850.0,2,True,posteriore,1935.0,1620.0
MAZDA,MX-5,petrol,33000,37600.0,97.0,130.0,6.1,,3915.0,8,False,posteriore,1735.0,1225.0
MAZDA,Mazda2 Hybrid,petrol/electric,25500,28400.0,85.0,286.0,2.9,,3940.0,5,False,anteriore,1745.0,1500.0
MAZDA,Mazda3,petrol/electric,28350,33750.0,137.0,334.0,5.1,,4460.0,14,False,anteriore,1795.0,1440.0
MAZDA,Mazda3 4 porte,petrol/electric,29850,34950.0,103.0,450.0,4.6,,4660.0,7,False,anteriore,1795.0,1445.0
MAZDA,Mazda6e,electric,42650,44875.0,60.0,466.0,15.0,,4921.0,4,True,posteriore,1890.0,1491.0
MERCEDES,CLA,petrol/electric,47296,55009.0,135.0,405.0,6.5,,4731.0,20,True,anteriore,1855.0,1450.0
MERCEDES,Citan,diesel,32420,33110.5,77.5,,4.6,,4488.0,2,False,anteriore,1859.0,1808.0
