marca,modello,ft,prezzo_min,prezzo_medio,potenza_media_kw,bagagliaio_l,consumo_medio,peso_medio_kg,lunghezza_mm,n_versioni,consumo_stimato,trazione_prevalente,larghezza_mm,altezza_mm,carrozzeria_prevalente
JEEP,Avenger,petrol,25700,28700.0,74.0,380.0,5.5,,4084.0,4,True,anteriore,1748.0,1534.0,Suv/Fuoristrada
JEEP,Avenger,full_hybrid,27700,31700.0,81.0,380.0,5.5,,4084.0,9,True,anteriore,1748.0,1534.0,Suv/Fuoristrada
JEEP,Compass,electric,47900,49650.0,104.0,550.0,18.0,,4548.0,4,True,anteriore,1904.0,1678.0,Suv/Fuoristrada
JEEP,Compass,full_hybrid,40900,44900.0,136.0,550.0,6.5,,4548.0,8,True,anteriore,1904.0,1678.0,Suv/Fuoristrada
JEEP,Grand Cherokee,full_hybrid,93000,99500.0,279.0,570.0,6.5,,4914.0,2,True,"posteriore, anteriore inseribile",1960.0,1858.0,Suv/Fuoristrada
JEEP,Renegade,full_hybrid,35600,35600.0,96.0,351.0,5.5,,4239.0,1,True,anteriore,1805.0,1684.0,Suv/Fuoristrada
JEEP,Wrangler 4p,petrol,71500,72500.0,200.0,533.0,8.5,,4882.0,2,True,"posteriore, anteriore inseribile",1894.0,1843.0,Suv/Fuoristrada
JEEP,Wrangler 4p,full_hybrid,85500,86750.0,279.0,533.0,3.4,,4882.0,2,False,"posteriore, anteriore inseribile",1894.0,1843.0,Suv/Fuoristrada
KIA,EV2,electric,26600,34350.0,36.0,362.0,15.0,,4065.0,5,True,anteriore,1800.0,1585.0,Suv/Fuoristrada
KIA,EV3,electric,35950,41950.0,50.0,460.0,15.0,,4300.0,6,True,anteriore,1850.0,1560.0,Suv/Fuoristrada
KIA,EV4,electric,37950,44775.0,50.0,435.0,15.0,,4430.0,6,True,anteriore,1860.0,1485.0,berlina 3/5 porte
KIA,Niro,phev,33250,38000.0,95.0,451.0,1.3,,4420.0,9,False,anteriore,1825.0,1545.0,Suv/Fuoristrada
KIA,Picanto,lpg,19550,21100.0,47.0,255.0,7.5,,3605.0,4,True,anteriore,1595.0,1485.0,berlina 3/5 porte
KIA,Picanto,petrol,17800,20400.0,50.0,255.0,5.5,,3605.0,6,True,anteriore,1595.0,1485.0,berlina 3/5 porte
KIA,Sportage,lpg,35750,38125.0,106.0,591.0,8.5,,4540.0,4,True,anteriore,1865.0,1645.0,Suv/Fuoristrada
KIA,Sportage,petrol,33750,36125.0,110.0,591.0,6.5,,4540.0,4,True,anteriore,1865.0,1645.0,Suv/Fuoristrada
KIA,Sportage,full_hybrid,36250,45250.0,176.0,587.0,6.5,,4540.0,22,True,anteriore,1865.0,1645.0,Suv/Fuoristrada
KIA,Stonic,lpg,24800,25775.0,69.0,352.0,7.5,,4165.0,2,True,anteriore,1760.0,1520.0,Suv/Fuoristrada
KIA,Stonic,petrol,22800,23775.0,74.0,352.0,5.5,,4165.0,2,True,anteriore,1760.0,1520.0,Suv/Fuoristrada
KIA,Stonic,full_hybrid,26250,28500.0,85.0,352.0,5.5,,4165.0,4,True,anteriore,1760.0,1520.0,Suv/Fuoristrada
KIA,XCeed,lpg,30850,30850.0,79.0,380.0,8.5,,4395.0,1,True,anteriore,1826.0,1495.0,Suv/Fuoristrada
KIA,XCeed,petrol,26600,33725.0,110.0,380.0,6.5,,4395.0,4,True,anteriore,1826.0,1495.0,Suv/Fuoristrada
KIA,XCeed,full_hybrid,29600,30725.0,85.0,380.0,5.5,,4395.0,2,True,anteriore,1826.0,1495.0,Suv/Fuoristrada
LAMBORGHINI,Revuelto,full_hybrid,517255,517255.0,747.0,140.0,6.5,,4947.0,1,True,"anteriore, posteriore inseribile",2038.0,1160.0,coupé
LAMBORGHINI,Temerario,full_hybrid,317222,317222.0,677.0,,6.5,,4706.0,1,True,"anteriore, posteriore inseribile",1996.0,1201.0,coupé
LAMBORGHINI,Urus,petrol,245327,259606.0,490.0,616.0,8.5,,5124.5,2,True,integrale permanente,2022.0,1638.0,Suv/Fuoristrada
LAMBORGHINI,Urus,full_hybrid,270092,270092.0,588.0,454.0,12.6,,5123.0,1,False,integrale permanente,2022.0,1638.0,Suv/Fuoristrada
LAND ROVER,Defender 3p,petrol,101700,138300.0,349.5,297.0,12.8,,4323.0,4,False,integrale permanente,2008.0,1974.0,Suv/Fuoristrada
LAND ROVER,Defender 3p,full_hybrid,68300,86950.0,183.0,297.0,7.6,,4323.0,8,False,integrale permanente,2008.0,1974.0,Suv/Fuoristrada
LAND ROVER,Defender 5p,petrol,105000,132200.0,313.0,786.0,12.8,,5099.0,5,False,integrale permanente,2008.0,1972.0,Suv/Fuoristrada
LAND ROVER,Defender 5p,full_hybrid,72100,101550.0,239.5,786.0,7.6,,4758.0,22,False,integrale permanente,2008.0,1972.0,Suv/Fuoristrada
LAND ROVER,Discovery,full_hybrid,79300,93650.0,258.0,258.0,7.3,,4969.0,8,False,integrale permanente,2000.0,1888.0,Suv/Fuoristrada
LAND ROVER,Discovery Sport,full_hybrid,55500,64150.0,150.0,963.0,6.5,,4597.0,8,True,integrale permanente,1904.0,1727.0,Suv/Fuoristrada
LAND ROVER,Range Rover,full_hybrid,143600,183700.0,338.0,818.0,11.4,,5052.0,51,False,integrale permanente,2047.0,1870.0,Suv/Fuoristrada
LAND ROVER,Range Rover Evoque,phev,50900,63900.0,150.0,591.0,5.3,,4371.0,15,False,integrale permanente,1996.0,1649.0,Suv/Fuoristrada
LAND ROVER,Range Rover Sport,full_hybrid,95300,123200.0,338.0,835.0,11.4,,4946.0,32,False,integrale permanente,2047.0,1820.0,Suv/Fuoristrada
